crop,month,period,target,pesticide_name,dilution_rate,amount_per_10a,unit,days_before_harvest,notes
てんさい,5,上旬,ヨトウムシ,フェニックス顆粒水和剤,2000,100,mL,14,
てんさい,6,中旬,褐斑病,ベルクートフロアブル,1000,100,mL,21,
てんさい,7,上旬,褐斑病,ベルクートフロアブル,1000,100,mL,21,2回目
てんさい,8,上旬,褐斑病,トップジンM水和剤,1000,100,g,14,
てんさい,9,中旬,ヨトウムシ,フェニックス顆粒水和剤,2000,100,mL,14,2回目
大豆,6,下旬,アブラムシ,スミチオン乳剤,1000,100,mL,21,
大豆,7,中旬,ハスモンヨトウ,フェニックス顆粒水和剤,2000,100,mL,7,
大豆,8,上旬,紫斑病,トップジンM水和剤,1000,100,g,30,
大豆,8,下旬,カメムシ,スミチオン乳剤,1000,100,mL,21,
春小麦,5,中旬,赤さび病,シルバキュアフロアブル,2000,100,mL,30,
春小麦,6,上旬,うどんこ病,トリフミン水和剤,2000,100,g,30,
春小麦,6,下旬,赤かび病,チルト乳剤25,1000,50,mL,21,
秋小麦,4,下旬,縞萎縮病,バリダシン液剤5,500,100,mL,14,
秋小麦,5,中旬,赤さび病,シルバキュアフロアブル,2000,100,mL,30,
秋小麦,6,上旬,うどんこ病,トリフミン水和剤,2000,100,g,30,
秋小麦,6,中旬,赤かび病,チルト乳剤25,1000,50,mL,21,
馬鈴薯,6,上旬,疫病,ランマンフロアブル,2000,100,mL,7,
馬鈴薯,6,下旬,疫病,ランマンフロアブル,2000,100,mL,7,2回目
馬鈴薯,7,中旬,疫病,ダコニール1000,1000,100,mL,30,
馬鈴薯,8,上旬,ニジュウヤホシテントウ,スミチオン乳剤,1000,100,mL,14,
小豆,7,上旬,アブラムシ,スミチオン乳剤,1000,100,mL,14,
小豆,7,下旬,菌核病,トップジンM水和剤,1000,100,g,21,
小豆,8,中旬,さび病,ダコニール1000,1000,100,mL,14,
