crop,month,period,target,pesticide_name,dilution_rate,amount_per_10a,unit,days_before_harvest,notes
てんさい,5,播種直後,除草,デュアールゴールド,,100,mL,90日前,
てんさい,5,本葉2葉展開後,除草,ベタハーブFL,,400,mL,60日前,
てんさい,5,本葉2葉展開後,除草,レナテン,,100,mL,60日前,
てんさい,5,1回目散布後7〜10日後,除草,ベタハーブFL,,500,mL,60日前,
てんさい,5,1回目散布後7〜10日後,除草,レナテン,,100,mL,60日前,
てんさい,5,1回目散布後10〜14日後,除草,ベタハーブFL,,500,mL,60日前,
てんさい,5,1回目散布後10〜14日後,除草,レナパック水和剤,,100,g,60日前,
てんさい,5,1回目散布後10〜14日後,除草,レナテン,,100,mL,60日前,
てんさい,6,10〜15日,褐斑病,フロンサイドSC,2000,,倍,30日前,臨機防除（連作畑）
てんさい,6,10〜15日,根腐病,ミリオネアFL,4000,,倍,7日前,
てんさい,6,10〜15日,ヨトウムシ,マッチ乳剤,3000,,倍,14日前,
てんさい,6,25〜30日,褐斑病,フセキフロアブル,3000,,倍,7日前,
てんさい,6,25〜30日,ヨトウムシ・アブラムシ,モスピランSL液剤,4000,,倍,3日前,
てんさい,7,上,除草,セレクト乳剤,,75,mL,30日前,
てんさい,7,9〜14日,根腐病,リンバー顆粒水和剤,4000,,倍,7日前,
てんさい,7,9〜14日,褐斑病,ムゲツDX,800,,倍,21日前,
てんさい,7,9〜14日,ヨトウムシ・シロオビノメイガ,プレバソンフロアブル5,5000,,倍,前日,
てんさい,7,23〜28日,褐斑病,グリーンペンコゼブ,400,,倍,21日前,
てんさい,7,23〜28日,ヨトウムシ・シロオビノメイガ,マッチ乳剤,3000,,倍,14日前,選択：カウンター乳剤も可
てんさい,8,2〜7日,褐斑病,グリーンペンコゼブ,400,,倍,21日前,
てんさい,8,2〜7日,葉腐病,モンカットFL40,1000,,倍,14日前,
てんさい,8,2〜7日,ヨトウムシ・シロオビノメイガ,プロフレア,4000,,倍,7日前,
てんさい,8,2〜7日,,バダンSG水溶剤,1500,,倍,7日前,
てんさい,8,12〜17日,褐斑病・葉腐病,グリーンペンコゼブ,400,,倍,21日前,
てんさい,8,12〜17日,ヨトウムシ・シロオビノメイガ,ディアナSC,5000,,倍,前日,
てんさい,8,26〜31日,褐斑病,グリーンペンコゼブ,400,,倍,21日前,
てんさい,8,26〜31日,ヨトウムシ・シロオビノメイガ,プロフレア,4000,,倍,7日前,
てんさい,9,9〜14日,褐斑病,ドイツボルドーDF,1000,,倍,-,
てんさい,9,9〜14日,ヨトウムシ・シロオビノメイガ,ファルコンFL,6000,,倍,7日前,
大豆,5,上,種子消毒,クルーザーMAXX,,8,mL/種子1kg,播種前,
大豆,5,中,除草,トップメリットFL,,300,mL,播種後出芽前,
大豆,5,中,除草,ラクサー乳剤,,500,mL,播種後出芽前,
大豆,5,中,除草,フルミオWDG,,7.5,g,播種後出芽前,
大豆,5,中,除草,デュアールゴールド,,100,mL,播種後出芽前,
大豆,6,中,除草,パワーガイザー液剤,,300,mL,出芽直前〜出芽揃,
大豆,6,中,アブラムシ,ゲットアウトWDG,3000,,倍,7日前,
大豆,6,下,除草,ナブ乳剤,,200,mL,イネ科6〜8葉期,選択：セレクト乳剤75mLも可
大豆,7,上,茎疫病,ザンプロDMFL,1500,,倍,7日前,開花期/選択：フェスティバルC水和剤600倍も可
大豆,7,中,マメシンクイガ,プレバソンFL,4000,,倍,7日前,
大豆,8,上,菌核病・灰色かび病,ミリオネアFL,4000,,倍,前日,
大豆,8,上,マメシンクイガ・カメムシ,ゲットアウトWDG,3000,,倍,7日前,
大豆,8,中,菌核病,シルバキュアFL,2000,,倍,7日前,着莢期
大豆,8,中,マメシンクイガ・アブラムシ,バイスロイド乳剤,2000,,倍,7日前,
大豆,9,上,腐敗粒,アミスター20FL,2000,,倍,7日前,着莢期
春小麦,4,下,除草,ガルシアFL,,200,mL,小麦1〜3葉期,
春小麦,4,下,除草,キタシーブFL,,100,mL,は種後〜3葉期,
春小麦,5,上〜中,除草,MCPソーダ塩,,300,g,45日前,
春小麦,5,上〜中,除草,ハーモニーDF水和剤,,5,g,小麦3〜5葉期,
春小麦,5,上〜中,除草,バサグラン液剤,,150,mL,小麦5葉期,
春小麦,5,上〜中,除草,エコパートFL,,75,mL,小麦2〜4葉期,
春小麦,5,6葉期,徒長防止,サイコセルPRO,,150,mL,6葉期前後,
春小麦,6,上,赤さび病,ミリオネアFL,4000,,倍,7日前,止葉期
春小麦,6,上,うどんこ病,カッシーニFL,3000,,倍,3日前,止葉期
春小麦,6,中,徒長防止,カルタイムFL,,800,mL,止葉期〜出穂始期,800〜1600mL
春小麦,6,中,赤かび病,プロラインFL,2000,,倍,7日前,開花始
春小麦,6,下,アブラムシ類,エルサン乳剤,1000,,倍,7日前,選択：ゲットアウトWDG3000〜4000倍も可
春小麦,7,上,赤かび病,ミラビスFL,1500,,倍,7日前,開花期
春小麦,7,上〜中,赤かび病他,シルバキュアFL,2000,,倍,7日前,臨機防除
春小麦,7,中,赤かび病,チルト乳剤,1000,,倍,3日前,臨機防除/1000〜2000倍
春小麦,8,中,除草,プリグロックスL,100,,倍,は種前又は種後出芽前,収穫後/100〜150倍
秋小麦,9,中〜下,除草,ガルシアFL,,200,mL,小麦出芽直前〜3葉期,播種
秋小麦,9,中〜下,除草,キタシーブFL,,100,mL,播種後〜3葉期,
秋小麦,10,中,除草,ガルシアFL,,250,mL,小麦3〜6葉期,大豆間作
秋小麦,10,中〜下,除草,エコパートFL,,75,mL,小麦2〜6葉期,
秋小麦,10,下,雪腐病,フロンサイドSC,1000,,倍,根雪前地上散布可能な日,地上防除
秋小麦,10,下,雪腐病,ランマンFL,1000,,倍,根雪前地上散布可能な日,地上防除
秋小麦,11,中〜下,雪腐病,フロンサイドSKY,8,,倍,根雪前,航空機防除/800ml/10a
秋小麦,11,中〜下,雪腐病,ランマンFL,8,,倍,根雪前,航空機防除/800ml/10a
秋小麦,4,上,除草,トレファノサイド乳剤,,300,mL,生育期,起生期
秋小麦,5,上,眼紋病,ファンタジスタ顆粒水和剤,2000,,倍,7日前,幼形期
秋小麦,5,上,倒伏防止,サイコセルPRO,,150,mL,幼穂形成期,
秋小麦,5,上〜中,除草,MCPソーダ塩,,300,g,45日前,
秋小麦,5,上〜中,除草,バサグラン液剤,,150,mL,麦の幼穂形成期,
秋小麦,5,上〜中,除草,ハーモニーDF水和剤,,5,g,麦の幼穂形成期,
秋小麦,5,中,赤さび病,ミリオネアFL,4000,,倍,7日前,出穂前
秋小麦,5,中〜下,倒伏防止,カルタイムFL,,800,mL,止葉期〜出穂始期,800〜1600mL
秋小麦,5,中〜下,赤かび病,プロラインFL,2000,,倍,7日前,
秋小麦,6,上,アブラムシ類,エルサン乳剤,1000,,倍,7日前,開花期/選択：ゲットアウトWDG3000〜4000倍も可
秋小麦,6,中,赤かび病,ミラビスFL,1500,,倍,7日前,
秋小麦,6,中,赤かび病,シルバキュアFL,2000,,倍,7日前,
秋小麦,6,下,赤かび病,チルト乳剤,1000,,倍,3日前,乳熟期/1000〜2000倍
秋小麦,7,下,除草,プリグロックスL,100,,倍,は種前又は種後出芽前,収穫後/100〜150倍
